file_name, char, shape
circle_A_1.png,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_1aug,A,circle
circle_A_12.png,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_A_12aug,A,circle
circle_B_23.png,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_23aug,B,circle
circle_B_34.png,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_B_34aug,B,circle
circle_C_45.png,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_45aug,C,circle
circle_C_56.png,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_C_56aug,C,circle
circle_D_67.png,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_67aug,D,circle
circle_D_78.png,D,circle
circle_D_78aug,D,circle
circle_D_78aug,D,circle
